Country,Average Temperature
Burkina Faso ,29.28
Mali ,29.19
Qatar ,29.11
Senegal ,29
United Arab Emirates ,28.93
Mauritania ,28.9
Bahrain ,28.84
Aruba ,28.82
Djibouti ,28.6
Gambia ,28.46
Benin ,28.09
Maldives ,28.08
Guinea Bissau ,28.05
Cayman Islands ,28.01
Oman ,27.94
Marshall Islands ,27.9
Kiribati ,27.77
Ghana ,27.73
Singapore ,27.7
Niger ,27.61
Kuwait ,27.58
Sudan ,27.57
Guam ,27.54
Palau ,27.54
Samoa ,27.53
Togo ,27.47
Micronesia ,27.45
St Kitts and Nevis ,27.34
American Samoa ,27.31
Chad ,27.28
Cambodia ,27.25
Northern Mariana Islands ,27.25
Sri Lanka ,27.24
Nigeria ,27.15
Seychelles ,27.11
Somalia ,27.1
Antigua and Barbuda ,27.06
Ivory Coast ,26.84
Virgin Islands ,26.84
St Lucia ,26.83
Thailand ,26.78
Dominica ,26.68
Sierra Leone ,26.64
Philippines ,26.61
Suriname ,26.53
Eritrea ,26.49
Saudi Arabia ,26.46
Trinidad and Tobago ,26.46
Barbados ,26.45
Malaysia ,26.35
Grenada ,26.33
Guyana ,26.16
Cuba ,26.14
Bahamas ,26.05
Jamaica ,26.02
St Vincent and the Grenadines ,25.98
Indonesia ,25.96
Guinea ,25.95
Solomon Islands ,25.89
Belize ,25.83
Nicaragua ,25.81
Bangladesh ,25.74
Central African Republic ,25.56
Brazil ,25.54
Venezuela ,25.52
Yemen ,25.51
Liberia ,25.47
Gabon ,25.46
Panama ,25.33
El Salvador ,25.23
Kenya ,25.22
India ,25.2
Tonga ,25.1
Republic of the Congo ,25.05
Haiti ,25.01
Fiji ,24.98
Cameroon ,24.94
Puerto Rico ,24.94
Equatorial Guinea ,24.89
Mayotte ,24.87
Papua New Guinea ,24.78
Vanuatu ,24.76
Vietnam ,24.73
Colombia ,24.71
Honduras ,24.71
Sao Tome and Principe ,24.66
Costa Rica ,24.64
Dominican Republic ,24.57
Mozambique ,24.42
Congo ,24.38
Algeria ,24.11
French Polynesia ,24.05
Laos ,24.05
Myanmar ,23.96
Paraguay ,23.86
Iraq ,23.81
Guatemala ,23.77
Comoros ,23.74
Hong Kong ,23.62
Ethiopia ,23.45
Macau ,23.4
New Caledonia ,23.37
Mauritius ,23.27
Egypt ,23.23
Uganda ,23.14
Tanzania ,22.9
Libya ,22.8
Madagascar ,22.7
Cape Verde ,22.67
Malawi ,22.55
Pakistan ,22.23
Botswana ,22
Australia ,21.96
Zambia ,21.92
Zimbabwe ,21.83
Mexico ,21.7
Angola ,21.63
Tunisia ,21.44
Ecuador ,21.07
Swaziland ,20.92
Taiwan ,20.79
Bolivia ,20.68
Burundi ,20.43
Malta ,20.26
Namibia ,20.24
Israel ,20.23
Jordan ,19.77
Palestine ,19.7
Peru ,19.58
Cyprus ,19.33
Iran ,19.3
Syria ,19.17
Rwanda ,19.14
Morocco ,19.1
South Africa ,18.42
Uruguay ,17.73
Turkmenistan ,17.66
Portugal ,16.9
Lebanon ,15.66
Spain ,15.3
Argentina ,15.07
Monaco ,15.01
Greece ,14.88
Uzbekistan ,14.86
Afghanistan ,14.48
Nepal ,14.39
Italy ,14.38
San Marino ,14.14
Azerbaijan ,13.84
Albania ,13.31
Croatia ,13.16
France ,13.16
South Korea ,12.76
Lesotho ,12.64
Hungary ,12.62
Serbia ,12.56
Japan ,12.42
Bulgaria ,12.28
Turkey ,12.24
Belgium ,11.98
Moldova ,11.9
Netherlands ,11.72
Macedonia ,11.66
New Zealand ,11.66
Bosnia and Herzegovina ,11.57
Luxembourg ,11.43
Romania ,11.2
Slovenia ,11.04
Montenegro ,11
Germany ,10.83
Bhutan ,10.56
Ireland ,10.35
United Kingdom ,10.11
Ukraine ,10.04
Georgia ,9.92
Isle of Man ,9.89
Slovakia ,9.81
Denmark ,9.77
Andorra ,9.73
United States ,9.73
Czech Republic ,9.71
Poland ,9.7
Chile ,9.37
Liechtenstein ,9.05
Austria ,8.65
Armenia ,8.64
China ,8.1
Switzerland ,8.08
Kazakhstan ,8.06
Belarus ,7.98
Lithuania ,7.95
North Korea ,7.46
Latvia ,7.4
Faroe Islands ,7.1
Estonia ,6.9
Tajikistan ,5.09
Kyrgyzstan ,3.93
Sweden ,3.84
Finland ,3.24
Norway ,2.88
Iceland ,2.11
Mongolia ,1.31
Russia ,-2.87
Canada ,-4.22
Greenland ,-18.62